BTC/USDT >> ARDR/BTC >>  ARDR/USDT
BTC/USDT >> LEND/BTC >>  LEND/USDT
BTC/USDT >> MDT/BTC >>  MDT/USDT
BTC/USDT >> STMX/BTC >>  STMX/USDT
BTC/USDT >> KNC/BTC >>  KNC/USDT
BTC/USDT >> REP/BTC >>  REP/USDT
BTC/USDT >> LRC/BTC >>  LRC/USDT
BTC/USDT >> PNT/BTC >>  PNT/USDT
BTC/USDT >> BTC/UAH >>  USDT/UAH
BTC/USDT >> COMP/BTC >>  COMP/USDT
BTC/USDT >> BTC/BIDR >>  USDT/BIDR
BTC/USDT >> BTC/BKRW >>  BKRW/USDT
BTC/USDT >> SC/BTC >>  SC/USDT
BTC/USDT >> ZEN/BTC >>  ZEN/USDT
BTC/USDT >> SNX/BTC >>  SNX/USDT
BTC/USDT >> DGB/BTC >>  DGB/USDT
BTC/USDT >> BTC/GBP >>  GBP/USDT
BTC/USDT >> SXP/BTC >>  SXP/USDT
BTC/USDT >> MKR/BTC >>  MKR/USDT
BTC/USDT >> BTC/DAI >>  DAI/USDT
BTC/USDT >> DCR/BTC >>  DCR/USDT
BTC/USDT >> STORJ/BTC >>  STORJ/USDT
BTC/USDT >> BTC/BKRW >>  USDT/BKRW
BTC/USDT >> MANA/BTC >>  MANA/USDT
BTC/USDT >> BTC/AUD >>  AUD/USDT
BTC/USDT >> YFI/BTC >>  YFI/USDT
BTC/USDT >> BAL/BTC >>  BAL/USDT
BTC/USDT >> BLZ/BTC >>  BLZ/USDT
BTC/USDT >> IRIS/BTC >>  IRIS/USDT
BTC/USDT >> KMD/BTC >>  KMD/USDT
BTC/USDT >> BTC/DAI >>  USDT/DAI
BTC/USDT >> JST/BTC >>  JST/USDT
BTC/USDT >> SRM/BTC >>  SRM/USDT
BTC/USDT >> ANT/BTC >>  ANT/USDT
BTC/USDT >> CRV/BTC >>  CRV/USDT
BTC/USDT >> SAND/BTC >>  SAND/USDT
BTC/USDT >> OCEAN/BTC >>  OCEAN/USDT
BTC/USDT >> NMR/BTC >>  NMR/USDT
BTC/USDT >> DOT/BTC >>  DOT/USDT
BTC/USDT >> LUNA/BTC >>  LUNA/USDT
BTC/USDT >> RSR/BTC >>  RSR/USDT
BTC/USDT >> PAXG/BTC >>  PAXG/USDT
BTC/USDT >> WNXM/BTC >>  WNXM/USDT
BTC/USDT >> TRB/BTC >>  TRB/USDT
BTC/USDT >> BZRX/BTC >>  BZRX/USDT
BTC/USDT >> SUSHI/BTC >>  SUSHI/USDT
BTC/USDT >> YFII/BTC >>  YFII/USDT
BTC/USDT >> KSM/BTC >>  KSM/USDT
BTC/USDT >> EGLD/BTC >>  EGLD/USDT
BTC/USDT >> DIA/BTC >>  DIA/USDT
BTC/USDT >> RUNE/BTC >>  RUNE/USDT
BTC/USDT >> FIO/BTC >>  FIO/USDT
BTC/USDT >> UMA/BTC >>  UMA/USDT
BTC/USDT >> BTC/NGN >>  USDT/NGN
BTC/USDT >> BEL/BTC >>  BEL/USDT
BTC/USDT >> WING/BTC >>  WING/USDT
BTC/USDT >> UNI/BTC >>  UNI/USDT
BTC/USDT >> NBS/BTC >>  NBS/USDT
BTC/USDT >> OXT/BTC >>  OXT/USDT
BTC/USDT >> SUN/BTC >>  SUN/USDT
BTC/USDT >> AVAX/BTC >>  AVAX/USDT
BTC/USDT >> HNT/BTC >>  HNT/USDT
BTC/USDT >> FLM/BTC >>  FLM/USDT
BTC/USDT >> ORN/BTC >>  ORN/USDT
BTC/USDT >> UTK/BTC >>  UTK/USDT
BTC/USDT >> XVS/BTC >>  XVS/USDT
BTC/USDT >> ALPHA/BTC >>  ALPHA/USDT
BTC/USDT >> BTC/BRL >>  USDT/BRL
BTC/USDT >> AAVE/BTC >>  AAVE/USDT
BTC/USDT >> NEAR/BTC >>  NEAR/USDT
BTC/USDT >> FIL/BTC >>  FIL/USDT
BTC/USDT >> INJ/BTC >>  INJ/USDT
BTC/USDT >> AUDIO/BTC >>  AUDIO/USDT
BTC/USDT >> CTK/BTC >>  CTK/USDT
BTC/USDT >> AKRO/BTC >>  AKRO/USDT
BTC/USDT >> AXS/BTC >>  AXS/USDT
BTC/USDT >> HARD/BTC >>  HARD/USDT
BTC/USDT >> DNT/BTC >>  DNT/USDT
BTC/USDT >> STRAX/BTC >>  STRAX/USDT
BTC/USDT >> UNFI/BTC >>  UNFI/USDT
BTC/USDT >> ROSE/BTC >>  ROSE/USDT
BTC/USDT >> AVA/BTC >>  AVA/USDT
BTC/USDT >> XEM/BTC >>  XEM/USDT
BTC/USDT >> SKL/BTC >>  SKL/USDT
BTC/USDT >> SUSD/BTC >>  SUSD/USDT
BTC/USDT >> GRT/BTC >>  GRT/USDT
BTC/USDT >> JUV/BTC >>  JUV/USDT
BTC/USDT >> PSG/BTC >>  PSG/USDT
BTC/USDT >> 1INCH/BTC >>  1INCH/USDT
BTC/USDT >> REEF/BTC >>  REEF/USDT
BTC/USDT >> OG/BTC >>  OG/USDT
BTC/USDT >> ATM/BTC >>  ATM/USDT
BTC/USDT >> ASR/BTC >>  ASR/USDT
BTC/USDT >> CELO/BTC >>  CELO/USDT
BTC/USDT >> RIF/BTC >>  RIF/USDT
BTC/USDT >> BTCST/BTC >>  BTCST/USDT
BTC/USDT >> TRU/BTC >>  TRU/USDT
BTC/USDT >> CKB/BTC >>  CKB/USDT
BTC/USDT >> TWT/BTC >>  TWT/USDT
BTC/USDT >> FIRO/BTC >>  FIRO/USDT
BTC/USDT >> LIT/BTC >>  LIT/USDT
BTC/USDT >> SFP/BTC >>  SFP/USDT
BTC/USDT >> DODO/BTC >>  DODO/USDT
BTC/USDT >> CAKE/BTC >>  CAKE/USDT
BTC/USDT >> ACM/BTC >>  ACM/USDT
BTC/USDT >> BADGER/BTC >>  BADGER/USDT
BTC/USDT >> FIS/BTC >>  FIS/USDT
BTC/USDT >> OM/BTC >>  OM/USDT
BTC/USDT >> POND/BTC >>  POND/USDT
BTC/USDT >> DEGO/BTC >>  DEGO/USDT
BTC/USDT >> ALICE/BTC >>  ALICE/USDT
BTC/USDT >> LINA/BTC >>  LINA/USDT
BTC/USDT >> PERP/BTC >>  PERP/USDT
BTC/USDT >> RAMP/BTC >>  RAMP/USDT
BTC/USDT >> SUPER/BTC >>  SUPER/USDT
BTC/USDT >> CFX/BTC >>  CFX/USDT
BTC/USDT >> EPS/BTC >>  EPS/USDT
BTC/USDT >> AUTO/BTC >>  AUTO/USDT
BTC/USDT >> TKO/BTC >>  TKO/USDT
BTC/USDT >> TLM/BTC >>  TLM/USDT
BTC/USDT >> BTG/BTC >>  BTG/USDT
BTC/USDT >> MIR/BTC >>  MIR/USDT
BTC/USDT >> BAR/BTC >>  BAR/USDT
BTC/USDT >> FORTH/BTC >>  FORTH/USDT
BTC/USDT >> BAKE/BTC >>  BAKE/USDT
BTC/USDT >> ICP/BTC >>  ICP/USDT
BTC/USDT >> AR/BTC >>  AR/USDT
BTC/USDT >> POLS/BTC >>  POLS/USDT
BTC/USDT >> MDX/BTC >>  MDX/USDT
BTC/USDT >> LPT/BTC >>  LPT/USDT
BTC/USDT >> NU/BTC >>  NU/USDT
BTC/USDT >> XVG/BTC >>  XVG/USDT
BTC/USDT >> ATA/BTC >>  ATA/USDT
BTC/USDT >> GTC/BTC >>  GTC/USDT
BTC/USDT >> TORN/BTC >>  TORN/USDT
BTC/USDT >> KEEP/BTC >>  KEEP/USDT
BTC/USDT >> KLAY/BTC >>  KLAY/USDT
BTC/USDT >> PHA/BTC >>  PHA/USDT
BTC/USDT >> BOND/BTC >>  BOND/USDT
BTC/USDT >> MLN/BTC >>  MLN/USDT
BTC/USDT >> C98/BTC >>  C98/USDT
BTC/USDT >> CLV/BTC >>  CLV/USDT
BTC/USDT >> QNT/BTC >>  QNT/USDT
BTC/USDT >> FLOW/BTC >>  FLOW/USDT
BTC/USDT >> TVK/BTC >>  TVK/USDT
BTC/USDT >> MINA/BTC >>  MINA/USDT
BTC/USDT >> FARM/BTC >>  FARM/USDT
BTC/USDT >> ALPACA/BTC >>  ALPACA/USDT
BTC/USDT >> QUICK/BTC >>  QUICK/USDT
BTC/USDT >> MBOX/BTC >>  MBOX/USDT
BTC/USDT >> FOR/BTC >>  FOR/USDT
BTC/USDT >> REQ/BTC >>  REQ/USDT
BTC/USDT >> WAXP/BTC >>  WAXP/USDT
BTC/USDT >> TRIBE/BTC >>  TRIBE/USDT
BTC/USDT >> GNO/BTC >>  GNO/USDT
BTC/USDT >> ELF/BTC >>  ELF/USDT
BTC/USDT >> DYDX/BTC >>  DYDX/USDT
BTC/USDT >> POLY/BTC >>  POLY/USDT
BTC/USDT >> IDEX/BTC >>  IDEX/USDT
BTC/USDT >> VIDT/BTC >>  VIDT/USDT
